GEOID ,NAMELSAD,Shape_Area,Area_Acres,Area_mi2
24510240300,Census Tract 2403,2158887.682,49.5610433,0.07743944
24510250101,Census Tract 2501.01,10362775.21,237.8956327,0.371713413
24510250102,Census Tract 2501.02,7939409.462,182.2630327,0.284787128
24510250103,Census Tract 2501.03,27854864.9,639.4571507,0.999155795
24510250203,Census Tract 2502.03,13829504.45,317.4804667,0.496065213
24510240400,Census Tract 2404,23095270.93,530.192345,0.828428853
24510250204,Census Tract 2502.04,9275005.384,212.9239735,0.332695039
24510060300,Census Tract 603,2013940.509,46.2335274,0.072240176
24510260800,Census Tract 2608,3355003.281,77.01996925,0.120344183
24510080800,Census Tract 808,3524544.088,80.91207507,0.126425623
24510260900,Census Tract 2609,5942474.21,136.4198907,0.213156932
24510230200,Census Tract 2302,2342057.243,53.76602101,0.084009744
24510270501,Census Tract 2705.01,24991815.16,573.7308354,0.896458016
24510160200,Census Tract 1602,4026221.99,92.42896889,0.144420842
24510100100,Census Tract 1001,4884513.308,112.1325475,0.175207806
24510130300,Census Tract 1303,3871933.422,88.88700492,0.138886501
24510060100,Census Tract 601,2569415.937,58.98543755,0.092165115
24510280301,Census Tract 2803.01,34240231,786.0443993,1.228199287
24510160100,Census Tract 1601,4118453.621,94.54630733,0.147729196
24510130200,Census Tract 1302,3795428.032,87.13068986,0.136142247
24510130400,Census Tract 1304,30176728.44,692.7595898,1.082441189
24510130600,Census Tract 1306,9428170.104,216.4401375,0.338189068
24510130700,Census Tract 1307,11447867.08,262.8058146,0.410635728
24510130803,Census Tract 1308.03,7465200.177,171.376729,0.26777721
24510130804,Census Tract 1308.04,7943227.84,182.3506903,0.284924093
24510130805,Census Tract 1308.05,17638405.93,404.9204631,0.632690754
24510250205,Census Tract 2502.05,25084063.95,575.8485678,0.899766986
24510150100,Census Tract 1501,3975430.394,91.26295896,0.142598944
24510090900,Census Tract 909,7392985.661,169.7189185,0.265186871
24510120400,Census Tract 1204,3024808.909,69.43977983,0.10850009
24510270701,Census Tract 2707.01,4303641.197,98.79761208,0.154371886
24510080301,Census Tract 803.01,2891135.88,66.37108163,0.10370523
24510010200,Census Tract 102,3822764.984,87.75825742,0.137122826
24510271801,Census Tract 2718.01,6005608.746,137.8692544,0.215421572
24510150900,Census Tract 1509,15771857.03,362.070568,0.565737525
24510080700,Census Tract 807,3215647.449,73.82081236,0.115345481
24510261000,Census Tract 2610,3336902.011,76.60442295,0.11969489
24510260700,Census Tract 2607,8457064.209,194.146703,0.303355437
24510160300,Census Tract 1603,2745456.676,63.02676066,0.098479707
24510260604,Census Tract 2606.04,5421114.052,124.4511563,0.19445571
24510280402,Census Tract 2804.02,6045938.32,138.7950904,0.216868196
24510010100,Census Tract 101,5829238.709,133.8203717,0.209095167
24510010300,Census Tract 103,7366181.191,169.103575,0.264225393
24510010400,Census Tract 104,10033883.67,230.345352,0.359916052
24510010500,Census Tract 105,1670927.495,38.35906361,0.059936277
24510020100,Census Tract 201,1878582.198,43.12614058,0.067384864
24510020200,Census Tract 202,2126403.018,48.81530102,0.076274213
24510020300,Census Tract 203,11267496.48,258.6650921,0.404165823
24510030100,Census Tract 301,4600537.862,105.6133944,0.165021589
24510160500,Census Tract 1605,11281275.99,258.9814248,0.404660095
24510130806,Census Tract 1308.06,15146160.11,347.7066007,0.543293737
24510140200,Census Tract 1402,4253994.425,97.6578836,0.152591053
24510140300,Census Tract 1403,4189987.611,96.1884952,0.150295125
24510150200,Census Tract 1502,4524139.563,103.8595378,0.162281177
24510150300,Census Tract 1503,4296437.968,98.63224937,0.154113506
24510150400,Census Tract 1504,8778378.766,201.5230407,0.314881011
24510150500,Census Tract 1505,10441823.39,239.7103218,0.374548876
24510150600,Census Tract 1506,10322473.1,236.9704273,0.370267774
24510150701,Census Tract 1507.01,10499227.68,241.0281378,0.376607972
24510150702,Census Tract 1507.02,4214070.538,96.74136092,0.151158981
24510271802,Census Tract 2718.02,5707559.632,131.0270157,0.204730531
24510060200,Census Tract 602,2774090.56,63.68410156,0.099506807
